acc,model,step
0.5339132562491407,small,10000
0.5642143735336002,small,20000
0.5720196145222469,small,30000
0.5773834655519946,small,40000
0.5800127159491517,small,50000
0.5830707625457898,small,60000
0.5849325807845142,small,70000
0.586763176413494,small,80000
0.5880536718599931,small,90000
0.58910873589412,small,100000
0.5907436737546937,small,110000
0.5911917246702255,small,120000
0.5920516651829374,small,130000
0.5929898110237812,small,140000
0.5937407479704565,small,150000
0.5942084500824879,small,160000
0.5949122740538388,small,170000
0.5952718919425769,small,180000
0.5956614346131843,small,190000
0.5962252674897021,small,200000
0.5969664392543003,small,210000
